objective_value,dual_bound,solution,time,termination,nodes,num_blocked_cycles,ceiling,time_limit,shortest_cycles,nullspace_formulation,block_limit
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,6.2968716864238685e-15,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-5.41277703631014e-13,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-6.490157235876112e-14,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,6.490157235876112e-14,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,5.152144837111553e-14,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-2.9376453271364787e-13,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,6.098528502312135e-15,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,1.6307463675181635e-12,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-8.662461820783225e-17,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-1.732492364156645e-16,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-1.3859938913252867e-16,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-1.925207022519821e-13,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-7.592222371985783e-13,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-8.662461820783225e-17,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-5.6498751321880275e-14,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-1.6856942290079436e-13,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-1.5143696415548608e-13,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,5.1974770924696406e-17,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-3.5186381043746144e-14,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-8.662461820783225e-17,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-5.5154812232660636e-14,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-0.0,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,9.755536851117502e-15,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
2.330707216354099e-13,0.8769972144240781,-6.771380368601399e-14,1800.000599,TIME_LIMIT,41023,100,100,1800,false,false,100
