objective_value,dual_bound,solution,time,termination,nodes,num_blocked_cycles
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,1.1102230246251565e-16,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-4.660938301981332e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,4.660938301981332e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,4.43933778626616e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,7.276401703393276e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,1.2643219804431283e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,3.4216164145540544e-13,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-2.0424772984029005e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-1.8530954548623413e-11,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-1.2079226507921703e-13,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-1.1357326445715888e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,4.604094883120524e-12,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-6.821210263296962e-13,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,1.865174681370263e-11,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,-3.4217073618947325e-13,1800.011091,TIME_LIMIT,300,50
0.0,0.8769972144263998,0.0,1800.011091,TIME_LIMIT,300,50
