objective_value,dual_bound,solution,time,termination
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,1.2250736823450003e-16,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-8.575515776414996e-16,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-2.8789231535107494e-15,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,-1.4700884188139998e-15,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,1.4700884188139998e-15,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
0.0,0.0,0.0,12.24599,OPTIMAL
0.0,0.0,-0.0,12.24599,OPTIMAL
