objective_loopless_fba,vars_loopless_fba,time_loopless_fba,termination_loopless_fba
0.026780442900929947,0.009144182228522535,4.924271,OPTIMAL
0.026780442900929947,0.03422979802002423,4.924271,OPTIMAL
0.026780442900929947,-0.07981645880237344,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,1.8050018515226785e-5,4.924271,OPTIMAL
0.026780442900929947,0.0005058290055127649,4.924271,OPTIMAL
0.026780442900929947,0.8,4.924271,OPTIMAL
0.026780442900929947,0.002777131928826436,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,2.3565313400365673,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,5.417683598858128e-5,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.024393341342509936,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,2.046025837631049e-5,4.924271,OPTIMAL
0.026780442900929947,0.0006325540613199655,4.924271,OPTIMAL
0.026780442900929947,0.0006341876683369227,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.011155768416582985,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,1.3390221450464976e-5,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,1.3390221450464976e-5,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.012718139455423237,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.013738088650790676,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.008513502798205633,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.000433575370566055,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.025606361503710286,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.03433713403517113,4.924271,OPTIMAL
0.026780442900929947,-0.013738088650790676,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,0.1890255709431862,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.017086191778104425,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.0,4.924271,OPTIMAL
0.026780442900929947,0.0023877442890469147,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.008889875142734751,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.013421661690430119,4.924271,OPTIMAL
0.026780442900929947,0.01781301159555356,4.924271,OPTIMAL
0.026780442900929947,0.008889875142734751,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.00043357537056605593,4.924271,OPTIMAL
0.026780442900929947,0.00043357537056605593,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,-0.013738088650790676,4.924271,OPTIMAL
0.026780442900929947,1.8050018515226785e-5,4.924271,OPTIMAL
0.026780442900929947,0.0023877442890469147,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
0.026780442900929947,-0.0006325540613199655,4.924271,OPTIMAL
0.026780442900929947,0.0002710180821574111,4.924271,OPTIMAL
0.026780442900929947,0.0,4.924271,OPTIMAL
0.026780442900929947,0.013017973294142051,4.924271,OPTIMAL
0.026780442900929947,0.00012693929935040797,4.924271,OPTIMAL
