objective_fba,vars_fba,time_fba,termination_fba
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.02294750911269598,0.195988,OPTIMAL
0.8769972144269655,0.3342403013651907,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.2901062935463681,0.195988,OPTIMAL
0.8769972144269655,0.2901062935463681,0.195988,OPTIMAL
0.8769972144269655,0.02294750911269598,0.195988,OPTIMAL
0.8769972144269655,0.19386461923515286,0.195988,OPTIMAL
0.8769972144269655,6.913003110880894,0.195988,OPTIMAL
0.8769972144269655,6.913003110880894,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.02294750911269598,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,3.047913488027864,0.195988,OPTIMAL
0.8769972144269655,0.00039114075763442666,0.195988,OPTIMAL
0.8769972144269655,-0.049851152659672,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0007822815152688533,0.195988,OPTIMAL
0.8769972144269655,0.03655499789174478,0.195988,OPTIMAL
0.8769972144269655,0.00019557037881721333,0.195988,OPTIMAL
0.8769972144269655,999.1186125375176,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0005902191253093478,0.195988,OPTIMAL
0.8769972144269655,-2.567692615335265,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.00039114075763442666,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.8459567750195843,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.00019557037881721333,0.195988,OPTIMAL
0.8769972144269655,24.00329327297583,0.195988,OPTIMAL
0.8769972144269655,0.03412571560778208,0.195988,OPTIMAL
0.8769972144269655,0.00039114075763442666,0.195988,OPTIMAL
0.8769972144269655,0.00019557037881721333,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,0.10852051231040703,0.195988,OPTIMAL
0.8769972144269655,-0.25479312371025187,0.195988,OPTIMAL
0.8769972144269655,0.001425997470658246,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-1000.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.39511443201299523,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.2901062935463681,0.195988,OPTIMAL
0.8769972144269655,0.0007822815152688533,0.195988,OPTIMAL
0.8769972144269655,0.25479312371025187,0.195988,OPTIMAL
0.8769972144269655,8.451763770252537,0.195988,OPTIMAL
0.8769972144269655,0.25479312371025187,0.195988,OPTIMAL
0.8769972144269655,0.7668174233868625,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.3342403013651907,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,0.049851152659672,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.049851152659672,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,0.28360686719024986,0.195988,OPTIMAL
0.8769972144269655,-0.5105755002783772,0.195988,OPTIMAL
0.8769972144269655,0.3342403013651907,0.195988,OPTIMAL
0.8769972144269655,0.049851152659672,0.195988,OPTIMAL
0.8769972144269655,0.5105755002783772,0.195988,OPTIMAL
0.8769972144269655,0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,999.9859145477391,0.195988,OPTIMAL
0.8769972144269655,0.39511443201299523,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,-991.9277142196956,0.195988,OPTIMAL
0.8769972144269655,0.00024380522561069645,0.195988,OPTIMAL
0.8769972144269655,-0.0,0.195988,OPTIMAL
0.8769972144269655,0.00024380522561069645,0.195988,OPTIMAL
