organism,time_limit,seed,mean,tolerance,termination_loopless_fba_gecko_tol_1.0e-8,objective_value_loopless_fba_gecko_tol_1.0e-8,time_loopless_fba_gecko_tol_1.0e-8,feasibility_loopless_fba_gecko_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8
iAF692,1800,10,1.0,1.0e-8,TIME_LIMIT,0.002458826019860905,1800.000402,false,OPTIMAL,0.0028395390772253007,5.437774896621704,true,OPTIMAL,0.0028395390772253007,4.9878339767456055,true
iAF692,1800,10,1.2,1.0e-8,OPTIMAL,0.009622000349208277,1434.448217,true,OPTIMAL,0.0096220783688124,5.528153896331787,true,OPTIMAL,0.0096220783688124,4.952939033508301,true
iAF692,1800,10,1.5,1.0e-8,OPTIMAL,0.02219931316155609,594.870576,true,OPTIMAL,0.02791390456341919,5.544837951660156,true,OPTIMAL,0.02791390456341919,5.004687070846558,true
iML1515,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.001193,false,ERROR,,NaN,false,ERROR,,NaN,false
iML1515,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.004581,false,OPTIMAL,1.4502006507105645,9.950021028518677,false,OPTIMAL,1.4502006507105645,9.113920211791992,false
iML1515,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.004312,false,OPTIMAL,2.933272697921888,8.927612066268921,true,OPTIMAL,2.933272697921888,8.089004039764404,true
e_coli_core,1800,10,1.0,1.0e-8,OPTIMAL,0.7596130044451351,0.053028,true,OPTIMAL,0.7596130044451347,4.890618085861206,true,OPTIMAL,0.7596130044451347,4.298110008239746,true
e_coli_core,1800,10,1.2,1.0e-8,OPTIMAL,1.249451125458348,0.060027,true,OPTIMAL,1.2494511254583482,4.846167087554932,true,OPTIMAL,1.2494511254583482,4.344997882843018,true
e_coli_core,1800,10,1.5,1.0e-8,OPTIMAL,2.5704838434592925,0.052815999999999995,true,OPTIMAL,2.5704838434592903,4.789896011352539,true,OPTIMAL,2.5704838434592903,4.477190017700195,true
iNF517,1800,10,1.0,1.0e-8,OPTIMAL,1.3011808366722157,12.494924,true,OPTIMAL,1.3011808188627305,5.372905969619751,true,OPTIMAL,1.3011808188627305,4.695510149002075,true
iNF517,1800,10,1.2,1.0e-8,OPTIMAL,2.062232650202517,1.952869,true,OPTIMAL,2.062232621976143,6.87847900390625,true,OPTIMAL,2.062232621976143,6.147557973861694,true
iNF517,1800,10,1.5,1.0e-8,OPTIMAL,4.114668389296605,18.951161,true,OPTIMAL,4.114695035328464,6.817358016967773,true,OPTIMAL,4.114695035328464,6.1465229988098145,true
iSB619,1800,10,1.0,1.0e-8,OPTIMAL,0.0005192487071118892,4.31632,true,OPTIMAL,0.001412283725406877,5.284614086151123,true,OPTIMAL,0.001412283725406877,4.809913873672485,true
iSB619,1800,10,1.2,1.0e-8,OPTIMAL,0.0008229536978188035,40.575114,true,OPTIMAL,0.0022383188603397643,5.361986875534058,true,OPTIMAL,0.0022383188603397643,4.786617040634155,true
iSB619,1800,10,1.5,1.0e-8,OPTIMAL,0.001642008586571232,142.600554,true,OPTIMAL,0.004466032855814429,5.536907911300659,true,OPTIMAL,0.004466032855814429,4.866044998168945,true
iAF1260,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.000422,false,OPTIMAL,1.4012945701140609,7.685340166091919,true,OPTIMAL,1.4012945701140609,6.775780916213989,true
iAF1260,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000586,false,OPTIMAL,2.236677001957677,7.7829649448394775,true,OPTIMAL,2.236677001957677,7.719903945922852,true
iAF1260,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.021186,false,OPTIMAL,4.489600453395249,7.091124057769775,true,OPTIMAL,4.489600453395249,7.074609994888306,true
iEK1008,1800,10,1.0,1.0e-8,TIME_LIMIT,,1834.881214,false,OPTIMAL,0.27898915342466984,1016.3879780769348,true,OPTIMAL,0.27898915342466984,1051.9271788597107,true
iEK1008,1800,10,1.2,1.0e-8,TIME_LIMIT,,1845.369155,false,ERROR,,NaN,false,ERROR,,NaN,false
iEK1008,1800,10,1.5,1.0e-8,TIME_LIMIT,,1803.6422,false,OPTIMAL,0.9269845230505711,2450.8296439647675,true,OPTIMAL,0.9269845230505711,2463.109941959381,true
iJO1366,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.010293,false,OPTIMAL,0.23448338133224994,8.018270015716553,true,OPTIMAL,0.23448338133224994,8.156951904296875,true
iJO1366,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.00845,false,OPTIMAL,0.38192620762251867,8.332278966903687,true,OPTIMAL,0.38192620762251867,8.294510841369629,true
iJO1366,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.00096,false,OPTIMAL,0.7795611773254858,8.67639708518982,true,OPTIMAL,0.7795611773254858,8.929144144058228,true
iMM904,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.00056,false,OPTIMAL,0.28092656499797874,9.964667081832886,true,OPTIMAL,0.28092653357860764,8.131304025650024,true
iMM904,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000319,false,OPTIMAL,0.4516449626189743,9.519694089889526,true,OPTIMAL,0.4516449626189743,9.018944025039673,true
iMM904,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.000513,false,OPTIMAL,0.9120516845768718,9.507572174072266,true,OPTIMAL,0.9120516908820412,10.84817099571228,true
iSDY_1059,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.00167,false,OPTIMAL,0.610004894850007,6.093968868255615,true,OPTIMAL,0.610004894850007,6.447512865066528,true
iSDY_1059,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.000622,false,ERROR,,NaN,false,ERROR,,NaN,false
iSDY_1059,1800,10,1.5,1.0e-8,OPTIMAL,0.0,428.523565,true,OPTIMAL,1.9619819777740168,6.704835891723633,true,OPTIMAL,1.9619819777740168,7.128121852874756,true
iSFV_1184,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000868,false,OPTIMAL,0.1411111606243245,7.58801007270813,true,OPTIMAL,0.1411111606243245,11.336403846740723,true
iSFV_1184,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.000808,false,OPTIMAL,0.2418110506360469,7.3202550411224365,true,OPTIMAL,0.2418110506360469,10.406109094619751,true
iSFV_1184,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.000811,false,ERROR,,NaN,false,ERROR,,NaN,false
iSF_1195,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000792,false,ERROR,,NaN,false,ERROR,,NaN,false
iSF_1195,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000886,false,OPTIMAL,0.5647348348499549,8.295444965362549,true,OPTIMAL,0.5647348348499549,9.528409004211426,true
iSF_1195,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.001345,false,OPTIMAL,1.1477974488012366,8.555338859558105,true,OPTIMAL,1.1477974488012366,9.628301858901978,true
iS_1188,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000749,false,OPTIMAL,0.3317815714696249,7.2491748332977295,true,OPTIMAL,0.3317815714696249,7.888341903686523,true
iS_1188,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.001305,false,OPTIMAL,0.5380445215188364,8.253798961639404,true,OPTIMAL,0.5380445215188364,8.495402097702026,true
iS_1188,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.000876,false,OPTIMAL,1.094309739252213,8.169444799423218,true,OPTIMAL,1.094309739252213,8.002380132675171,true
iSbBS512_1146,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000652,false,OPTIMAL,0.09881412538828221,8.301983118057251,true,OPTIMAL,0.09881412538828221,8.32918095588684,true
iSbBS512_1146,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.000647,false,OPTIMAL,0.16263559997964466,7.907542943954468,true,OPTIMAL,0.16263559997964466,7.908293008804321,true
iSbBS512_1146,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.002415,false,OPTIMAL,0.33475362688975013,7.169148921966553,true,OPTIMAL,0.33475362688975013,8.106781959533691,true
Recon3D,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.032762,false,TIME_LIMIT,199.94735774180623,2045.4437630176544,false,TIME_LIMIT,199.9473577418062,2159.5095179080963,false
Recon3D,1800,10,1.2,1.0e-8,TIME_LIMIT,,1926.73723,false,TIME_LIMIT,258.13316720401036,1826.305671930313,false,ERROR,,NaN,false
Recon3D,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.188237,false,TIME_LIMIT,350.5206293461851,1808.015823841095,false,TIME_LIMIT,350.5206293461851,2035.0377609729767,false
STM_v1_0,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.001134,false,OPTIMAL,0.3272999104002899,7.944760084152222,true,OPTIMAL,0.3272999104002899,7.900230884552002,true
