organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,seed,termination_fba,objective_value_fba,time_fba,feasibility_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,cuts_cb,iter_cb,times_master_problem_cb,times_sub_problem_cb,times_mis_problem_cb,termination_cb_big_m,objective_value_cb_big_m,time_cb_big_m,feasibility_cb_big_m,cuts_cb_big_m,iter_cb_big_m,termination_cb_indicator_and_big_m,objective_value_cb_indicator_and_big_m,time_cb_indicator_and_big_m,feasibility_cb_indicator_and_big_m,cuts_cb_indicator_and_big_m,iter_cb_indicator_and_big_m,metabolites,reactions
iAF1260,1800,TIME_LIMIT,0.0,1800,false,3,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,7,true,0,1,ERROR,,,false,,,1668,2382
iSDY_1059,1800,TIME_LIMIT,0.0,1800,false,1,OPTIMAL,0.381,1,true,ERROR,,,false,,,,,,OPTIMAL,0.0,7,true,0,1,ERROR,,,false,,,1888,2539
iSDY_1059,1800,OPTIMAL,0.0,444,true,2,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,9,true,0,1,ERROR,,,false,,,1888,2539
iSDY_1059,1800,OPTIMAL,0.0,102,true,3,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,8,true,0,1,ERROR,,,false,,,1888,2539
iJO1366,1800,TIME_LIMIT,0.0,1800,false,1,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,8,true,0,1,ERROR,,,false,,,1805,2583
iJO1366,1800,TIME_LIMIT,0.0,1800,false,2,OPTIMAL,0.0,0,true,OPTIMAL,0.607,37,true,0,1,27,0,3,OPTIMAL,0.607,9,true,0,1,ERROR,,,false,,,1805,2583
iJO1366,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,1,true,ERROR,,,false,,,,,,OPTIMAL,0.0,9,true,0,1,ERROR,,,false,,,1805,2583
iSbBS512_1146,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,0,true,OPTIMAL,0.307,34,true,0,1,22,0,4,OPTIMAL,0.307,10,true,0,1,OPTIMAL,0.307,21,true,0,1,1910,2591
iSbBS512_1146,1800,TIME_LIMIT,NaN,1800,false,2,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,7,true,0,1,ERROR,,,false,,,1910,2591
iSbBS512_1146,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,1,true,OPTIMAL,0.255,48,true,0,1,36,0,4,OPTIMAL,0.255,8,true,0,1,OPTIMAL,0.255,22,true,0,1,1910,2591
iS_1188,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,0,true,ERROR,,,false,,,,,,OPTIMAL,0.0,9,true,0,1,ERROR,,,false,,,1914,2619
