organism,seed,objective_value_fba,objective_value_mp_indicator,objective_value_mp_bigm
iAF692,1,8.730422327088623e-5,8.853785563227874e-5,0.0
iJR904,1,0.22656431103217564,0.2267124635492657,0.22662474216730275
iML1515,1,0.0,0.4141683848753933,0.0
e_coli_core,1,1.6058831170882562,1.6058831170882562,1.6058831170882555
iNF517,1,0.35083670012331364,0.35084120931450086,0.350808782648175
iSB619,1,0.00012040394670165181,0.00012043105238497114,0.00012040032080479858
iCN900,1,0.0,1.0e-7,0.0
iAF1260,1,0.0,0.2951023561124984,0.0
iJO1366,1,0.0,0.8527847018076454,0.0
iMM904,1,1.4300061272732807,1.4304235379418893,1.429975938472341
iSDY_1059,1,0.0,0.3804761097689434,0.0
iSFV_1184,1,0.0,0.49009205471957323,0.0
iSF_1195,1,0.0,0.5860051622020165,0.0
iS_1188,1,0.0,0.3604823325364239,0.0
iSbBS512_1146,1,0.0,0.30718636474498184,0.0
iAF692,2,0.0,0.03585299660257634,0.03584687306524538
iJR904,2,0.6449988221964477,0.64531552294076,0.6449615211394427
iML1515,2,0.0,0.2851021285587316,0.0
e_coli_core,2,NaN,NaN,NaN
iNF517,2,0.6431175998802993,0.6434519368047776,0.6431400673340093
iSB619,2,0.0003156266744883499,0.00031570511034578004,0.00031564111814638116
iCN900,2,0.0,1.0e-7,0.0
iAF1260,2,0.0,0.5035634038116527,0.0
iJO1366,2,0.0,0.6073303507990846,0.0
iMM904,2,0.9895431973331821,0.9898936538275288,0.9895522039704313
iSDY_1059,2,0.0,0.7508555410334873,0.0
iSFV_1184,2,0.0,0.6251443639933079,0.0
iSF_1195,2,0.0,0.19727691206762865,0.0
iS_1188,2,0.0,0.19042739175400608,0.0
iSbBS512_1146,2,0.0,0.4040203930063388,0.0
iAF692,3,0.0034777569423421703,0.003477893204617209,0.0034796430805578743
iJR904,3,1.147037108653052,1.1475768255253842,1.1470882151487396
iML1515,3,0.0,0.7012466437206698,0.0
e_coli_core,3,0.3958890918632876,0.39588909186328747,0.3958890918632876
iNF517,3,1.3326910047221248,1.3308771946222882,1.3304819064294529
iSB619,3,0.0002528131352332658,0.00025282019334955057,0.00025281009477628417
iCN900,3,0.0,1.0e-7,0.0
iAF1260,3,0.0,0.5479399123832037,0.0
iJO1366,3,0.0,0.6975525046596441,0.0
iMM904,3,0.8507480483877283,0.8511669773380083,0.8507629680119818
iSDY_1059,3,0.0,0.3663993822104353,0.0
iSFV_1184,3,0.0,0.3896689300868663,0.0
iSF_1195,3,0.0,0.23871116820018354,0.0
iS_1188,3,0.0,0.5118005192393368,0.0
iSbBS512_1146,3,0.0,0.2546518831564242,0.0
