organism,time_limit,termination_ll_fba,objective_value_ll_fba,time_ll_fba,feasibility_ll_fba,seed,termination_fba,objective_value_fba,time_fba,feasibility_fba,termination_cb,objective_value_cb,time_cb,feasibility_cb,cuts_cb,iter_cb,times_master_problem_cb,times_sub_problem_cb,times_mis_problem_cb,termination_cb_mis_5,objective_value_cb_mis_5,time_cb_mis_5,feasibility_cb_mis_5,cuts_cb_mis_5,iter_cb_mis_5,times_master_problem_mis_5,times_sub_problem_mis_5,times_mis_problem_mis_5,metabolites,reactions
iSbBS512_1146,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,0,true,OPTIMAL,0.307,34,true,0,1,22,0,4,OPTIMAL,0.307,23,true,0,1,14,0,3,1910,2591
iSbBS512_1146,1800,TIME_LIMIT,NaN,1800,false,2,OPTIMAL,0.0,0,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1910,2591
iSbBS512_1146,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,1,true,OPTIMAL,0.255,48,true,0,1,36,0,4,OPTIMAL,0.255,39,true,0,1,30,0,3,1910,2591
iS_1188,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,0,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1914,2619
iS_1188,1800,TIME_LIMIT,0.0,1800,false,2,OPTIMAL,0.0,1,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1914,2619
iS_1188,1800,TIME_LIMIT,0.0,1800,false,3,OPTIMAL,0.0,1,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1914,2619
iSFV_1184,1800,OPTIMAL,0.0,1320,true,1,OPTIMAL,0.0,1,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1917,2621
iSFV_1184,1800,TIME_LIMIT,0.0,1800,false,2,OPTIMAL,0.0,0,true,OPTIMAL,0.625,42,true,0,1,30,0,4,OPTIMAL,0.625,29,true,0,1,20,0,3,1917,2621
iSFV_1184,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,0,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1917,2621
iSF_1195,1800,TIME_LIMIT,NaN,1800,false,1,OPTIMAL,0.0,1,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1917,2630
iSF_1195,1800,OPTIMAL,0.0,101,true,2,OPTIMAL,0.0,0,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1917,2630
iSF_1195,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,1,true,OPTIMAL,0.239,35,true,0,1,23,0,4,OPTIMAL,0.239,24,true,0,1,15,0,3,1917,2630
iML1515,1800,OPTIMAL,0.0,721,true,1,OPTIMAL,0.414,1,true,OPTIMAL,0.414,59,true,0,1,45,0,4,OPTIMAL,0.414,43,true,0,1,33,0,3,1877,2712
iML1515,1800,TIME_LIMIT,NaN,1800,false,2,OPTIMAL,0.0,1,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1877,2712
iML1515,1800,TIME_LIMIT,NaN,1800,false,3,OPTIMAL,0.0,1,true,ERROR,NaN,,false,,,,,,ERROR,,,,,,,,,1877,2712
