organism,time_limit,time,cycles
e_coli_core,600,0.7658751010894775,44
iCN900,600,50.474193811416626,191
iAF692,600,16.738264083862305,179
iJR904,600,42.57810020446777,489
iNJ661,600,38.07845902442932,510
iEK1008,600,58.041133880615234,547
iMM904,600,94.88659906387329,774
iSFV_1184,600,264.9538278579712,1100
iML1515,600,318.34061193466187,1237
