mis,optimal_ll_fba,timelimit_ll_fba,optimal_cb,timelimit_cb,error_cb
0_1,10,25,31,4,1
0_5,10,25,32,3,1
1_0,10,25,32,3,1
2_0,10,25,32,3,1
5_0,10,25,32,3,1
10_0,10,25,32,3,1
20_0,10,25,32,3,1
30_0,10,25,31,4,1
