organism,time_limit,termination_dp_Hull,objective_value_dp_Hull,time_dp_Hull,feasibility_dp_Hull,termination_dp_BigM_1000,objective_value_dp_BigM_1000,time_dp_BigM_1000,feasibility_dp_BigM_1000
iECH74115_1262,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,18,true
iEcHS_1320,1800,TIME_LIMIT,0.138,1800,false,OPTIMAL,0.0,22,true
iECIAI1_1343,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,5,true
iECIAI39_1322,1800,TIME_LIMIT,0.819,1800,false,OPTIMAL,0.0,39,true
iECNA114_1301,1800,OPTIMAL,0.0,38,true,TIME_LIMIT,0.838,1800,false
iECO103_1326,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.808,1800,false
iECO111_1330,1800,OPTIMAL,0.0,64,true,TIME_LIMIT,0.0,1800,false
iECO26_1355,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,82,true
iECOK1_1307,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.982,1673,true
iEcolC_1368,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.0,1800,false
iECP_1309,1800,TIME_LIMIT,0.217,1800,false,OPTIMAL,0.0,14,true
iECs_1301,1800,OPTIMAL,0.0,44,true,TIME_LIMIT,0.0,1800,false
iECS88_1305,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.861,1800,false
iECSE_1348,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.094,1800,false
iECSF_1327,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,40,true
iEcSMS35_1347,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,44,true
iECSP_1301,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.324,1800,false
iECUMN_1333,1800,TIME_LIMIT,0.978,1800,false,TIME_LIMIT,0.406,1800,false
iECW_1372,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.0,1800,false
iEKO11_1354,1800,TIME_LIMIT,0.801,1800,false,OPTIMAL,0.0,19,true
iG2583_1286,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.0,1800,false
iIS312,1800,OPTIMAL,50.678,1,true,OPTIMAL,50.678,2,true
iIS312_Epimastigote,1800,OPTIMAL,50.678,2,true,OPTIMAL,50.678,1,true
iIS312_Trypomastigote,1800,OPTIMAL,53.036,1,true,OPTIMAL,53.036,1,true
iIT341,1800,OPTIMAL,0.693,10,true,OPTIMAL,0.693,2,true
iJN1463,1800,OPTIMAL,0.0,70,true,OPTIMAL,0.0,54,true
iJN678,1800,OPTIMAL,0.063,6,true,OPTIMAL,0.063,3,true
iLF82_1304,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.331,1800,false
iLJ478,1800,OPTIMAL,0.228,4,true,OPTIMAL,0.228,1,true
iNRG857_1313,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.969,1800,false
iPC815,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.284,418,true
iSBO_1134,1800,OPTIMAL,0.0,27,true,OPTIMAL,0.0,9,true
iSSON_1240,1800,OPTIMAL,0.0,48,true,TIME_LIMIT,0.606,1800,false
iUMN146_1321,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.903,1800,false
iUMNK88_1353,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.399,1800,false
iUTI89_1310,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.954,1800,false
iWFL_1372,1800,TIME_LIMIT,0.0,1800,false,OPTIMAL,0.0,19,true
iY75_1357,1800,TIME_LIMIT,0.0,1800,false,TIME_LIMIT,0.758,1800,false
iYL1228,1800,TIME_LIMIT,0.997,1800,false,TIME_LIMIT,0.879,1800,false
iYS854,1800,OPTIMAL,1.36,635,true,OPTIMAL,1.36,310,true
