organism,time_limit,seed,mean,tolerance,termination_loopless_fba_gecko_tol_1.0e-8,objective_value_loopless_fba_gecko_tol_1.0e-8,time_loopless_fba_gecko_tol_1.0e-8,feasibility_loopless_fba_gecko_tol_1.0e-8,iter_loopless_fba_gecko_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_tol_1.0e-8,termination_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,objective_value_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,time_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,feasibility_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8,iter_combinatorial_benders_gecko_fast_big_m_0.5_tol_1.0e-8
iAF1260,1800,10,4.0,1.0e-8,TIME_LIMIT,,1800.001152,false,,OPTIMAL,1442.3486071736568,200.9292118549347,false,21,OPTIMAL,1442.3486071736536,51.131474018096924,false,3
iAF1260,1800,10,5.0,1.0e-8,INFEASIBLE,,805.262658,false,,TIME_LIMIT,18239.975045885734,1805.6942567825317,false,246,OPTIMAL,18239.975045885712,284.27328610420227,false,22
iEK1008,1800,10,1.0,1.0e-8,TIME_LIMIT,,1834.881214,false,,OPTIMAL,0.27898915342466984,1016.3879780769348,true,1,OPTIMAL,0.27898915342466984,1051.9271788597107,true,1
iEK1008,1800,10,1.2,1.0e-8,TIME_LIMIT,,1845.369155,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iEK1008,1800,10,1.5,1.0e-8,TIME_LIMIT,,1803.6422,false,,OPTIMAL,0.9269845230505711,2450.8296439647675,true,1,OPTIMAL,0.9269845230505711,2463.109941959381,true,1
iEK1008,1800,10,4.0,1.0e-8,TIME_LIMIT,,1833.239634,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iEK1008,1800,10,5.0,1.0e-8,TIME_LIMIT,,1802.732867,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iJO1366,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.010293,false,,OPTIMAL,0.23448338133224994,8.018270015716553,true,1,OPTIMAL,0.23448338133224994,8.156951904296875,true,1
iJO1366,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.00845,false,,OPTIMAL,0.38192620762251867,8.332278966903687,true,1,OPTIMAL,0.38192620762251867,8.294510841369629,true,1
iJO1366,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.00096,false,,OPTIMAL,0.7795611773254858,8.67639708518982,true,1,OPTIMAL,0.7795611773254858,8.929144144058228,true,1
iJO1366,1800,10,4.0,1.0e-8,OPTIMAL,0.0,402.091759,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iJO1366,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.00226,false,,ERROR,,NaN,false,,OPTIMAL,31.282171769776763,165.7123098373413,true,26
iMM904,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.00056,false,,OPTIMAL,0.28092656499797874,9.964667081832886,true,4,OPTIMAL,0.28092653357860764,8.131304025650024,true,1
iMM904,1800,10,1.2,1.0e-8,TIME_LIMIT,0.0,1800.000319,false,,OPTIMAL,0.4516449626189743,9.519694089889526,true,4,OPTIMAL,0.4516449626189743,9.018944025039673,true,2
iMM904,1800,10,1.5,1.0e-8,TIME_LIMIT,0.0,1800.000513,false,,OPTIMAL,0.9120516845768718,9.507572174072266,true,4,OPTIMAL,0.9120516908820412,10.84817099571228,true,3
iMM904,1800,10,4.0,1.0e-8,TIME_LIMIT,257.9707096791003,1800.000283,false,,OPTIMAL,292.2284782816117,10.990070819854736,true,8,OPTIMAL,292.2284782816117,9.981218099594116,true,2
iMM904,1800,10,5.0,1.0e-8,ERROR,,NaN,false,,OPTIMAL,3025.987443762392,176.5275309085846,false,106,OPTIMAL,3025.9874437623675,24.459805965423584,false,10
iSDY_1059,1800,10,1.0,1.0e-8,TIME_LIMIT,0.0,1800.00167,false,,OPTIMAL,0.610004894850007,6.093968868255615,true,1,OPTIMAL,0.610004894850007,6.447512865066528,true,1
iSDY_1059,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.000622,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSDY_1059,1800,10,1.5,1.0e-8,OPTIMAL,0.0,428.523565,true,,OPTIMAL,1.9619819777740168,6.704835891723633,true,1,OPTIMAL,1.9619819777740168,7.128121852874756,true,1
iSDY_1059,1800,10,4.0,1.0e-8,OPTIMAL,0.0,606.988981,true,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSDY_1059,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.000635,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSFV_1184,1800,10,1.0,1.0e-8,TIME_LIMIT,,1800.000868,false,,OPTIMAL,0.1411111606243245,7.58801007270813,true,1,OPTIMAL,0.1411111606243245,11.336403846740723,true,1
iSFV_1184,1800,10,1.2,1.0e-8,TIME_LIMIT,,1800.000808,false,,OPTIMAL,0.2418110506360469,7.3202550411224365,true,1,OPTIMAL,0.2418110506360469,10.406109094619751,true,1
iSFV_1184,1800,10,1.5,1.0e-8,TIME_LIMIT,,1800.000811,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSFV_1184,1800,10,4.0,1.0e-8,TIME_LIMIT,,1800.003245,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
iSFV_1184,1800,10,5.0,1.0e-8,TIME_LIMIT,,1800.001706,false,,ERROR,,NaN,false,,ERROR,,NaN,false,
